date,product_line,width,height,length_gusset,ship_via,skus,total_quantity,price,material_front_id,material_back_id,num_colors,printing_method,zipper_type,options,customer,salesperson,project,Factory,terms_conditions,item_#,cfmd_skus
Jan 15 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,5000,1.097,3598163000037650071,3598163000037650071,5,Digital,None - None,Custom Plastic Insert (Tray Only- No Lid),The CO2 Company,Jordan Weiser,Co2 Company Vape Box,China Boxes 2,"DDP Cust Whse
Vape Box w/ Plastic Tray Insert",QRE-08117-01-1.89x0.87x3.74-SEA,SB-189374CO2-LD-SEA-20325014943 - 5000 - Feb 12 2025
Jan 15 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,5000,1.234,3598163000037650071,3598163000037650071,5,Digital,None - None,Custom Plastic Insert (Tray Only- No Lid),The CO2 Company,Jordan Weiser,Co2 Company Vape Box,China Boxes 2,"DDP Cust Whse
Vape Box w/ Plastic Tray Insert ",QRE-08117-01-1.89x0.87x3.74-AIR,
Jun 26 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,5000,1.306,3598163000020543723,3598163000020543723,5,Digital,None - None,Paper Insert,Omega Store (Wasserstrom Corporation),Jordan Weiser,Small Slide Safe Omega,China Boxes,"DDP Cust Whse
CR Box w/ Accordion Paper Insert ",QRE-07064-02-1.89x0.87x3.74-AIR,
Jun 24 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,5000,1.306,3598163000020543723,3598163000020543723,5,Digital,None - None,Paper Insert,Omega Store (Wasserstrom Corporation),Jordan Weiser,Small Slide Safe Omega,China Boxes,"DDP Cust Whse
CR Box with the accordion paper Insert placed inside.",QRE-06994-02-1.89x0.87x3.74-AIR,
May 23 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,5000,1.446,3598163000020543723,3598163000020543723,4,Digital,None - None,Spot UV,Holy Grail Cannabis,Ryan Holmes,Holy Grail Disposable Box,China Boxes,"DDP Cust Whse
 
Quote with Paper Insert",QRE-06918-01-1.89x0.87x3.74-SEA,
May 23 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,5000,1.56,3598163000020543723,3598163000020543723,4,Digital,None - None,Spot UV,Holy Grail Cannabis,Ryan Holmes,Holy Grail Disposable Box,China Boxes,"DDP Cust Whse

With Plastic Insert",QRE-06918-01-1.89x0.87x3.74-SEA,
Mar 05 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,10000,1.122,3598163000037650071,3598163000037650071,5,Digital,None - None,Custom Plastic Insert (Tray Only- No Lid),Wholesome Cannabis Co.,Jordan Weiser,Wholesome Vape Slide Safe,China Boxes 2,DDP Cust Whse,QRE-08426-01-1.89x0.87x3.74-AIR,
Jan 17 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,10000,1.103,3598163000037650071,3598163000037650071,5,Digital,None - None,Foam Insert,Boojum Group,Jordan Weiser,Boojum Group Vape Boxes,China Boxes 2,DDP Cust Whse,QRE-08125-01-1.89x0.87x3.74-AIR,
Jan 17 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,10000,0.954,3598163000037650071,3598163000037650071,5,Digital,None - None,Foam Insert,Boojum Group,Jordan Weiser,Boojum Group Vape Boxes,China Boxes 2,DDP Cust Whse,QRE-08125-01-1.89x0.87x3.74-SEA,
Nov 06 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,10,10000,1.108,3598163000037650071,3598163000037650071,5,Digital,N/A - N/A,Custom Plastic Insert  (Tray + Lid),Mfused,Steve Annunziato,Mfused - CR Boxes - 2 SKUs - Nov 2024,China Boxes 2,DDP Cust Whse,QRE-07747-01-1.89x0.87x3.74-SEA,
