Factory,Description,Material,fx_Description,fx Material Structure,Total Thickness,Material 1,Material 2,Material 3,Material 4,Finish,Opacity,Finish for Clear Area,Barrier,Hologram,Matte Varnish,Metallized Film,Microwaveable,Recyclable,Soft Touch,Spot UV,Window,Inactive
China Boxes 2,400.0ga CCNB Kraft,CCNB,Kraft Paper,CCNB,4.00,CCNB,,,,Kraft Paper,Clear,None,No,No,No,No,No,No,No,No,No,false
China Boxes 2,Art Paper Tube,Art Paper/White Card,Recyclable Paper Matte (Film),Art Paper/White Card,157.00,Art Paper,White Card,,,Matte,Opaque,None,No,No,No,No,No,Paper,No,No,No,false
China Boxes 2,Art Paper Tube w Paper Button,Art Paper/White Card/Paper Button,Recyclable Paper Matte (Film),Art Paper/White Card/Paper Button,40.94,Art Paper,White Card,Paper Button,,Matte,Opaque,None,No,No,No,No,No,Paper,No,No,No,false
China Boxes 2,Art Paper Tube w Plastic Button,Art Paper/White Card/Plastic Button,Recyclable Paper Matte (Film),Art Paper/White Card/Plastic Button,40.94,Art Paper,White Card,Plastic Button,,Matte,Opaque,None,No,No,No,No,No,Paper,No,No,No,false
China Boxes 2,Matte Finish,157g Artpaper + 700g Greyboard + 250gCCNB,Matte (Film),Art Paper/Greyboard/CCNB,1107.00,Art Paper,Greyboard,CCNB,,Matte,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Boxes 2,Matte Finish with Spot UV,157g Artpaper + 700g Greyboard + 250gCCNB,Matte (Film) with Spot UV,Art Paper/Greyboard/CCNB + Spot UV,1107.00,Art Paper,Greyboard,CCNB,,Matte,Opaque,None,No,No,No,No,No,No,No,Yes,No,false
China Boxes 2,Matte Masking Paper Sticker,Matte Masking Paper Sticker,Recyclable Paper Matte (Film),Matte Masking Paper Sticker,,Matte Masking Paper Sticker,,,,Matte,Opaque,None,No,No,No,No,No,Paper,No,No,No,false
China Boxes 2,Soft Touch Matte Finish,157g Artpaper + 700g Greyboard + 250gCCNB,Matte (Film),Art Paper/Greyboard/CCNB,1107.00,Art Paper,Greyboard,CCNB,,Matte,Opaque,None,No,No,No,No,No,No,Yes,No,No,false
China Digital,Chemical Resistant Clear Glossy Pouches,KPET/PET/PE,Glossy,KPET/PET/PE,2.60,KPET,PET,PE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Chemical Resistant Opaque Glossy Pouches,KPET/VMPET/PE,Glossy,KPET/VMPET/PE,,KPET,VMPET,PE,,Glossy,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Digital,Chemical Resistant White Glossy Pouches,KPET/White PET/PE,Glossy,KPET/White PET/PE,2.60,KPET,White PET,PE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Clear Glossy,PET/PET/PE,Glossy,PET/PET/PE,,PET,PET,PE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Compostable - Opaque Glossy,PLA/CMF,Compostable Glossy,PLA/CMF,,PLA,CMF,,,Glossy,Opaque,Glossy,No,No,No,No,No,Compostable,No,No,No,false
China Digital,Frosted Matte Black,CPE,Matte (Film),CPE,,CPE,,,,Matte,Clear,Matte,No,No,No,No,No,No,No,No,No,false
China Digital,Glossy - PET/PE,PET/PE,Glossy,PET/PE,,PET,PE,,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Glossy Foil with PE Foam Insulation,VMPET/EPE Foam,Opaque Glossy,VMPET/EPE Foam,20.16,VMPET,EPE Foam,,,Glossy,Opaque,None,No,No,No,Yes,No,No,No,No,No,false
China Digital,Glossy PET NY CPP,PET/NY/CPP,Glossy,PET/NY/CPP,4.61,PET,NY,CPP,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Iridescent - Clear Glossy with Hologram,PET/Laser PET/PE,Glossy with Hologram,PET/Laser VMPET/PE,0.00,PET,Laser VMPET,PE,,Glossy,Clear,Glossy,No,Yes,No,No,No,No,No,No,No,false
China Digital,Iridescent - Matte with Hologram,Matte OPP/Laser PET/PE,Opaque Matte (Film) with Hologram Spot UV,Matte OPP/Laser VMPET/PE + Spot UV,0.00,Matte OPP,Laser VMPET,PE,,Matte,Opaque,None,Yes,Yes,No,Yes,No,No,No,Yes,No,false
China Digital,Iridescent - Matte with Transparent Hologram,Matte OPP/Laser PET/PE + Spot UV,Matte (Film) with Hologram Spot UV,Matte OPP/Laser PET/PE + Spot UV,,Matte OPP,Laser PET,PE,,Matte,Clear,Glossy,No,Yes,No,No,No,No,No,Yes,No,false
